1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-97.09,-45.19,-117.24,-109.92,-47.02,-36.03,-28.7,-69,-48.85,2.44,-17.1,-50.07,-45.19,-18.32,-54.35,-20.15,-53.13,-51.91,-59.84,-37.86
-96.48,-44.58,-117.24,-109.31,-47.02,-36.03,-28.09,-68.39,-48.24,1.832,-15.88,-50.68,-44.58,-17.71,-53.74,-19.54,-53.13,-51.91,-59.84,-37.86
-96.48,-44.58,-116.02,-109.31,-46.41,-36.03,-26.87,-67.78,-47.63,2.44,-15.27,-50.07,-43.97,-17.1,-53.74,-19.54,-53.74,-51.91,-59.23,-37.25
-96.48,-43.97,-116.02,-108.7,-46.41,-35.42,-26.26,-66.56,-47.63,1.832,-14.66,-50.07,-43.36,-17.71,-53.74,-18.93,-53.74,-52.52,-59.23,-37.86
-95.87,-43.97,-115.41,-108.09,-45.8,-36.64,-25.04,-66.56,-48.24,2.44,-14.04,-49.46,-42.75,-17.1,-54.35,-18.32,-54.35,-52.52,-59.23,-37.86
-95.26,-43.97,-114.8,-108.09,-45.8,-36.03,-23.82,-65.34,-47.63,3.05,-12.82,-49.46,-42.13,-17.71,-54.35,-18.32,-53.74,-53.13,-59.23,-37.86
-94.65,-43.36,-114.19,-107.47,-45.8,-36.03,-23.2,-64.73,-47.63,2.44,-12.82,-48.85,-41.52,-17.71,-54.35,-17.71,-53.74,-53.13,-59.23,-37.25
-94.04,-42.75,-113.58,-106.86,-45.8,-36.03,-22.59,-64.12,-47.02,2.44,-12.21,-49.46,-40.91,-17.1,-54.35,-17.1,-54.35,-53.13,-59.23,-37.86
-92.82,-42.13,-112.97,-106.25,-45.8,-36.03,-21.37,-63.51,-47.02,2.44,-10.99,-48.85,-40.91,-17.1,-54.35,-17.1,-54.35,-53.74,-59.23,-37.86
-92.21,-41.52,-111.75,-105.64,-45.8,-36.03,-21.37,-62.9,-47.63,3.05,-10.99,-48.85,-40.3,-17.1,-54.35,-16.49,-54.96,-53.74,-58.62,-37.86
-91.6,-41.52,-111.14,-105.64,-45.19,-36.03,-20.15,-62.9,-47.63,2.44,-10.38,-48.24,-39.69,-17.1,-54.35,-15.88,-54.96,-54.35,-59.23,-37.86
-90.38,-40.91,-110.53,-105.03,-45.8,-37.25,-20.76,-62.29,-47.63,2.44,-9.77,-48.85,-39.08,-17.1,-54.35,-15.88,-54.96,-54.35,-59.23,-37.86
-90.38,-40.91,-109.31,-103.81,-45.8,-36.64,-19.54,-61.68,-48.24,2.44,-9.16,-48.24,-38.47,-17.1,-54.96,-15.88,-54.96,-54.35,-58.62,-38.47
-88.54,-40.3,-108.7,-103.2,-45.19,-36.64,-18.93,-61.68,-48.24,2.44,-9.16,-48.24,-38.47,-17.71,-54.35,-15.88,-54.96,-54.35,-58.62,-38.47
-87.93,-39.08,-107.47,-101.98,-45.19,-36.64,-18.93,-60.45,-47.63,1.832,-7.94,-48.24,-37.86,-17.71,-54.96,-15.88,-55.57,-54.96,-59.23,-38.47
-86.71,-39.08,-105.64,-101.37,-45.19,-36.64,-18.32,-60.45,-47.63,1.832,-7.33,-48.24,-37.86,-18.32,-54.96,-15.88,-54.96,-55.57,-58.62,-38.47
-85.49,-38.47,-105.03,-100.15,-45.19,-37.25,-18.32,-59.84,-47.63,1.832,-6.72,-48.24,-37.25,-18.93,-54.96,-15.27,-54.96,-55.57,-58.62,-38.47
-83.66,-37.25,-103.81,-99.54,-45.19,-37.25,-17.71,-60.45,-47.63,2.44,-6.72,-48.24,-36.64,-18.32,-54.96,-15.27,-54.96,-55.57,-59.23,-39.08
